collectTime,inverter_state,pv1_i,pv1_u,mppt_power,active_power,efficiency,a_i,b_i,c_i,a_u,b_u,c_u,ab_u,bc_u,ca_u,inv_temperature,global_tilted_irradiance,diffuse_radiation,temperature_2m,wind_speed_10m,precipitation
2023-04-01 04:00:00+00:00,1,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,230,230,230,400,400,400,48.054001,0.0,0.0,13.054001,8.759178,0.0
2023-04-01 04:15:00+00:00,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230,230,230,400,400,400,48.029001,0.0,0.0,13.029001,8.916296,0.025
2023-04-01 04:30:00+00:00,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230,230,230,400,400,400,48.004001,0.0,0.0,13.004001,9.073414,0.05
2023-04-01 04:45:00+00:00,1,3.0161399973531754e-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230,230,230,400,400,400,47.979,0.0,0.0,12.979,9.230533,0.075
2023-04-01 05:00:00+00:00,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230,230,230,400,400,400,47.954,0.0,0.0,12.954,9.3876505,0.1
2023-04-01 05:15:00+00:00,1,3.0160903377168805e-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230,230,230,400,400,400,47.929001,0.0,0.0,12.929001,9.180014,0.175
2023-04-01 05:30:00+00:00,1,6.032131018249455e-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230,230,230,400,400,400,47.903999999999996,0.0,0.0,12.904,8.972376,0.25
2023-04-01 05:45:00+00:00,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230,230,230,400,400,400,47.879,0.0,0.0,12.879,8.764739,0.32500002
2023-04-01 06:00:00+00:00,1,3.0160158543922774e-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230,230,230,400,400,400,47.854,0.0,0.0,12.854,8.557102,0.4
2023-04-01 06:15:00+00:00,1,0.006412757701775898,325.13600116804764,0.0020850183956150144,0.0,0.0,0.0,0.0,0.0,230,230,230,400,400,400,47.829,0.75,0.75,12.829,8.273224,0.5
2023-04-01 06:30:00+00:00,1,0.012827989818112366,338.026237712094,0.0043361971356255715,0.0,0.0,0.0,0.0,0.0,230,230,230,400,400,400,47.804,1.5,1.5,12.804,7.989346,0.6
2023-04-01 06:45:00+00:00,1,0.019261333660883267,345.59780487630906,0.006656674632191419,0.0,0.0,0.0,0.0,0.0,230,230,230,400,400,400,47.778999,2.25,2.25,12.778999,7.705468,0.7
2023-04-01 07:00:00+00:00,1,0.025685132998391712,350.96534393736545,0.009014591536857523,0.0,0.0,0.0,0.0,0.0,230,230,230,400,400,400,47.754,3.0,3.0,12.754,7.42159,0.8
2023-04-01 07:15:00+00:00,1,0.087913772827543,373.33761042373936,0.032821517870770374,0.01260992295060365,38.41968247859,0.018200856024978646,0.018200856024978646,0.018200856024978646,230,230,230,400,400,400,47.829,10.25,10.25,12.829,7.5886908,0.675
2023-04-01 07:30:00+00:00,1,0.15026794826993828,382.7898851653233,0.05752105066227841,0.03653523820848514,63.516291492993346,0.05273407403643999,0.05273407403643999,0.05273407403643999,230,230,230,400,400,400,47.903999999999996,17.5,17.5,12.904,7.7557917,0.55
